state_name,year,access,mtbs_class,area_km2
Arizona,1999,roaded,3,0.8114399999999999
Arizona,1999,roaded,4,0.064845
Arizona,1999,roaded,5,0.10596599999999999
Arizona,1999,roaded,6,0.08460000000000001
Arizona,1999,roadless,0,0.0009
Arizona,1999,roadless,1,2.8077659999999995
Arizona,1999,roadless,2,1.8686610000000001
Arizona,1999,roadless,3,1.443987
Arizona,1999,roadless,4,0.36265499999999995
Arizona,1999,roadless,5,0.062928
Arizona,1999,roadless,6,0.0
Arizona,1999,wilderness,0,0.0
Arizona,1999,wilderness,1,0.0
Arizona,1999,wilderness,2,0.0
Arizona,1999,wilderness,3,0.0
Arizona,1999,wilderness,4,0.0
Arizona,1999,wilderness,5,0.0
Arizona,1999,wilderness,6,0.0
Arizona,2000,roaded,0,0.0
Arizona,2000,roaded,1,27.03249
Arizona,2000,roaded,2,25.511651999999998
Arizona,2000,roaded,3,9.66168
Arizona,2000,roaded,4,6.924752999999999
Arizona,2000,roaded,5,0.962316
Arizona,2000,roaded,6,0.0
Arizona,2000,roadless,0,0.0009
Arizona,2000,roadless,1,0.575352
Arizona,2000,roadless,2,1.24785
Arizona,2000,roadless,3,1.3724459999999998
Arizona,2000,roadless,4,1.1084129999999999
Arizona,2000,roadless,5,0.0
Arizona,2000,roadless,6,0.0
Arizona,2000,wilderness,0,0.0
Arizona,2000,wilderness,1,14.953878
Arizona,2000,wilderness,2,22.805469
Arizona,2000,wilderness,3,16.330562999999998
Arizona,2000,wilderness,4,14.901084
Arizona,2000,wilderness,5,0.17348399999999997
Arizona,2000,wilderness,6,0.0
Arizona,2001,roaded,0,0.0
Arizona,2001,roaded,1,5.7456
Arizona,2001,roaded,2,16.763778
Arizona,2001,roaded,3,4.125339
Arizona,2001,roaded,4,0.359919
Arizona,2001,roaded,5,0.0072
Arizona,2001,roaded,6,0.0
Arizona,2001,roadless,0,0.0009
Arizona,2001,roadless,1,0.19503
Arizona,2001,roadless,2,0.555642
Arizona,2001,roadless,3,1.1955239999999998
Arizona,2001,roadless,4,0.115398
Arizona,2001,roadless,5,0.0
Arizona,2001,roadless,6,0.0
Arizona,2001,wilderness,0,0.0
Arizona,2001,wilderness,1,2.398968
Arizona,2001,wilderness,2,10.844441999999999
Arizona,2001,wilderness,3,7.770563999999999
Arizona,2001,wilderness,4,1.226619
Arizona,2001,wilderness,5,0.0
Arizona,2001,wilderness,6,0.0
Arizona,2002,roaded,0,0.0
Arizona,2002,roaded,1,108.87851699999999
Arizona,2002,roaded,2,142.652052
Arizona,2002,roaded,3,230.12005499999998
Arizona,2002,roaded,4,291.96612
Arizona,2002,roaded,5,0.061667999999999994
Arizona,2002,roaded,6,0.0
Arizona,2002,roadless,0,0.0009
Arizona,2002,roadless,1,9.545337
Arizona,2002,roadless,2,21.742506
